date,headline,summary,close_price,Headline_Sentiment,Content_Sentiment
2024-05-24,Investing on Steroids: 7 High-Growth Stocks for the Bold and Daring,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,15.760000228881836,0.6249,0.0
2024-05-22,Freshworks Q1: Downgrade To Hold Because Of Weak Near-Term Performance,"Freshworks 1Q24Â results showed weaker growth in billings, customer adds, and net dollar retention.Â Read the reasonsÂ why IÂ revised FRSH rating fromÂ buyÂ to hold.",15.31999969482422,-0.4404,-0.0772
2024-05-20,"Freshworks price target lowered by $10 at Needham, here's why, Wall Street Analysts Are Bullish on Top Technology Picks","Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results., Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.",15.804999828338625,0.0772,0.0
2024-05-16,"10 Information Technology Stocks Whale Activity In Today's Session, Freshworks management to meet with Needham","Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results., Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.",15.279999732971191,0.0,0.0
2024-05-15,"Tiger Global exits PDD Holdings, boosts Alphabet, Amazon among 1Q moves, Tiger Global exits PDD Holdings, boosts Alphabet, Amazon, cuts JD.com, Chase Coleman's Tiger Global exits PDD, boosts Amazon in Q1","Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results., Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results., Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.",14.106666564941406,0.7783,0.0
2024-05-14,Freshworks to Participate in Upcoming Investor Conferences,"SAN MATEO, Calif., May 14, 2024 (GLOBE NEWSWIRE) -- Freshworks Inc., (NASDAQ: FRSH) today announced participation in the following events: J.P. Morgan 52nd Annual Global Technology, Media and Communications Conference: Dennis Woodside, Chief Executive Officer, is scheduled to participate in a fireside chat on Tuesday, May 21, 2024 at 6:30 a.m. Pacific Time / 9:30 a.m. Eastern TimeJefferies Software Conference: Tyler Sloat, Chief Financial Officer, is scheduled to participate in a fireside chat o",11.34000015258789,0.0,0.0
2024-05-12,Alphabet Bought Up Two Slumping Stocks,YouTube and Google parent Alphabet bought more GitLab and Prime Medicine stock in the first quarter.,11.0,0.0,0.0
2024-05-08,"Freshwork (FRSH) Loses -23.99% in 4 Weeks, Here's Why a Trend Reversal May be Around the Corner, Expert Outlook: Freshworks Through The Eyes Of 11 Analysts, Analysts Are Bullish on Top Technology Stocks: Freshworks (FRSH), CyberArk Software (CYBR)","Freshwork (FRSH) has become technically an oversold stock now, which implies exhaustion of the heavy selling pressure on it. This, combined with strong agreement among Wall Street analysts in revising earnings estimates higher, indicates a potential trend reversal for the stock in the near term., Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results., Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.",11.12333329518636,-0.128,0.4871
2024-05-07,HubSpot (HUBS) Reports Q1: Everything You Need To Know Ahead Of Earnings,Sales and marketing software maker HubSpot (NYSE:HUBS) will be reporting results tomorrow after the bell. Here's what to look for.,11.449999809265137,0.0,0.0
2024-05-06,Freshworks Inc. (NASDAQ:FRSH) Q1 2024 Earnings Call Transcript,"Freshworks Inc. (NASDAQ:FRSH) Q1 2024 Earnings Call Transcript May 1, 2024 Freshworks Inc. isn’t one of the 30 most popular stocks among hedge funds at the end of the third quarter (see the details here). Operator: Good day and thank you for standing by. Welcome to the Freshworks First Quarter 2024 Conference Call. At this […]",11.170000076293944,0.0,0.8883
2024-05-03,"Freshworks First Quarter 2024 Earnings: EPS Beats Expectations, Freshworks price target lowered by $7 at Canaccord, here's why, Freshworks price target lowered by $5 at Barclays, here's why","Freshworks ( NASDAQ:FRSH ) First Quarter 2024 Results Key Financial Results Revenue: US$165.1m (up 20% from 1Q 2023..., Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results., Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.",12.99666659037272,-0.25,0.0
