Date,Headline,Content,Close
2023-01-02,Lenders to meet on Tuesday to discuss bids for Reliance Capital's acquisition,"In an e-auction conducted under the Challenge Mechanism, Torrent had presented a resolution plan for Reliance Capital Ltd (RCL) with a net present value of Rs 8,640 crore, while Hinduja's offer was Rs 8,110 crore. The Committee of Creditors (CoC) of debt-ridden Reliance Capital Ltd is scheduled to meet on Tuesday to discuss bids submitted by Torrent Group and Hinduja Group as part of the insolvency resolution process. Ahmedabad-based Torrent Group submitted a bid of Rs 8,640 crore for acquiring the NBFC firm set up by the Anil Ambani Group, sources said. If successful, it will mark the entry of Torrent Group into financial services space. In an e-auction conducted under the Challenge Mechanism, Torrent had presented a resolution plan for Reliance Capital Ltd (RCL) with a net present value of Rs 8,640 crore, while Hinduja's offer was Rs 8,110 crore. The CoC fixed a floor value of Rs 6,500 crore for the auction held on December 21. After the e-auction was over, sources said, Hinduja presented a revised resolution plan with a bid of Rs 9,000 crore and it offered 100 per cent cash upfront. On the other hand, sources said, Torrent Group offered only Rs 3,750 crore as upfront cash, which is 54 per cent lower than the Hinduja offer. This is the first time that an e-auction of this scale is taking place for the resolution of an NBFC (non-banking financial company) under the Insolvency and Bankruptcy Code (IBC). The decision of e-auction was taken at the behest of LIC and EPFO, which together control 35 per cent of the voting rights in the CoC. The National Company Law Tribunal (NCLT) has set a deadline of March 31, 2023 for the completion of RCL's resolution, which is already delayed by over a year. The Reserve Bank of India (RBI) had on November 29 last year superseded the board of RCL in view of payment defaults Agencies PTI. Lenders to meet on Tuesday to discuss bids for Reliance Capital's acquisition - The Economic Times and serious governance issues. The RBI appointed Nageswara Rao Y as the administrator in relation to the Corporate Insolvency Resolution Process (CIRP) of the firm. RCL is the third large NBFC against which the central bank has initiated bankruptcy proceedings under IBC. The other two were Srei Group NBFC and Dewan Housing Finance Corporation.The RBI subsequently filed an application for initiation of CIRP against the company at the Mumbai bench of NCLT. In February this year, the RBI-appointed administrator invited expression of interest for the sale of RCL.",2575.89990234375
2023-01-03,Reliance firm invests $11.2 million in South Africa and UAE T20 teams,"South Africa-incorporated India Mumbai Indians Pvt Ltd owns the Cape Town franchise in SA20, the franchise-based T20 league launched by Cricket South Africa. Indiawin Sports Middle East Limited, which has been incorporated in UAE, owns the MI Emirates franchise. Reliance Strategic Business Ventures (RSBVL), a subsidiary of Reliance Industries, has infused equity worth $11.24 million (₹93 crore) in its overseas subsidiaries, which own franchises in the South African and UAE T20 cricket leagues, as per the Reserve Bank ofIndia (RBI) data on outward foreign direct investment (FDI) from India. South Africa-incorporated India Mumbai Indians Pvt Ltd owns the Cape Town franchise in SA20, the franchise-based T20 league launched by Cricket South Africa. Indiawin Sports Middle East Limited, which has been incorporated in UAE, owns the MI Emirates franchise. As per RBI data, RSBVL has invested equity worth $6.246 million in India Mumbai Indians Pty Ltd in November and $5 million in Indiawin Sports Middle East in October. All six franchises in SA20 are owned by the IPL franchise owners. Apart from Reliance, the other franchise owners in SA20 are RPSG Sports, India Cements, Rajasthan Royals, JSW Sports, and Sun TV Network. CSA owns a 57.5% stake in SA20 followed by sports broadcaster SuperSport which owns 30%. Former Indian Premier League (IPL) COO Sundar Raman holds a 12.5% stake in the league. The IL20 has been established by Emirates Cricket Board (ECB) under the auspices of its Chairman Sheikh Nahayan Mabarak Al Nahayan. Billionaire Gautam Adani also owns the Gulf Giants franchise in the league. Three out of the five teams in IL T20 are owned by IPL franchises. Besides Reliance, Shah Rukh Khan-owned Knight Riders and GMR Group co-owned Delhi Capitals have bought Abu Dhabi Knight Riders and Dubai Capitals, respectively. A recent D and P Advisory report noted that there is a growing trend of IPL franchise owners buying teams in international T20 leagues. The report added that there are many synergies in owning multiple teams across leagues. Owning teams in non-IPL cricket leagues, it said, helps a team to achieve economies of scale by creating operational efficiencies and fungibility of support and coaching staff across leagues. As per RBI data, RSBVL has invested equity worth $6.246 million in India Mumbai Indians Pty Ltd in November and $5 million in Indiawin Sports Middle East in October. Agencies. It added that ownership of teams in global T20 leagues helps sustain fan engagement throughout the year.",2557.050048828125
2023-01-04,"Buy Reliance Industries, target price Rs 2909: Prabhudas Lilladher","Prabhudas Lilladher has buy call on Reliance Industries with a target price of Rs 2909. The current market price of Reliance Industries is Rs 2538.85. Reliance Industries, incorporated in the year 1973, is a Large Cap company (having a market cap of Rs 1726715.50 Crore) operating in Diversified sector. Reliance Industries key Products/Revenue Segments include Petrochemicals, Oil & Gas, Income From Financial Services, Other Services, Others and Income from Retailing for the year ending 31-Mar-2022",2518.550048828125
2023-01-05,Mukesh Ambani driving $75 billion green bet as scions helm other Reliance units,"The 65-year-old will oversee strategy, including the building of gigafactories and blue hydrogen facilities, will assess acquisition targets, and is talking to potential investors, the people said, asking not to be named as the information isn’t public. Ambani last year unveiled plans to spend $75 billion on clean energy projects over the next 15 years. Mukesh Ambani, the billionaire chairman of Reliance Industries Ltd., will be focusing his attention on the Indian conglomerate’s pivot to green energy, according to people familiar with the matter, after putting his children in charge of other businesses.",2514.050048828125
2023-01-06,Reliance Jio listing among 5 triggers that can spark 39% rally in RIL stock in 2023,"Jio is expected to deliver 19% YoY revenue growth led by tariff hikes in the mobile segment and continued traction in the non-mobile segment. ""5G pricing/adoption and its impact on market dynamics is key monitorable. The timing and quantum of next tariff hikes and Jio's response to Bharti's rural expansion would also be key focus areas,"" the analysts said.",2536.89990234375
2023-01-09,"Buy Reliance Industries., target price Rs 2875: Motilal Oswal Financial Services","Going forward, the market share gains from VIL, tariff hikes, wireline – Jiofibre subscriber additions and other digital avenues triggered by 5G rollout should drive growth. Motilal Oswal Financial Services has buy call on Reliance Industries with a target price of Rs 2875. The current market price of Reliance Industries is Rs 2583. Reliance Industries, incorporated in the year 1973, is a Large Cap company (having a market cap of Rs 1755470.98 Crore) operating in Diversified sector. Reliance Industries key Products/Revenue Segments include Petrochemicals, Oil & Gas, Income From Financial Services, Other Services, Others and Income from Retailing for the year ending 31-Mar-2022",2596.800048828125
2023-01-10,"Buy Reliance Industries, target price Rs 2950: JM Financial","The brokerage maintains BUY on RIL (TP of INR 2,950) given RIL’s industry leading capabilities across businesses and expectation of strong 14-15% EPS CAGR over the next 3-5 years. JM Financial has buy call on Reliance Industries with a target price of Rs 2950.The current market price of Reliance Industries is Rs 2567.25. Reliance Industries, incorporated in the year 1973, is a Large Cap company (having a market cap of Rs 1744949.86 Crore) operating in Diversified sector. Reliance Industries key Products/Revenue Segments include Petrochemicals, Oil & Gas, Income From Financial Services, Other Services, Others and Income from Retailing for the year ending 31-Mar2022.",2558.39990234375
2023-01-11,"Reliance Jio launches 5G in Uttarakhand, will invest another ₹650 crore in the state","Reliance Jio on Wednesday launched its True 5G services in Uttarakhand, starting in Dehradun, and committed more investments in the state towards deployment of standalone 5G. Apart from the existing investment of Rs 4,950 crore, Jio will additionally invest over ₹650 crore on the deployment of a stand-alone 5G network in Uttarakhand, a Jio Spokesperson said. Reliance Jio on Wednesday launched its True 5G services in Uttarakhand, starting in Dehradun, and committed more investments in the state towards deployment of standalone 5G.",2526.14990234375
2023-01-12,NCLT to hear Torrent plea against Reliance Capital auction on January 16,"The matter was adjourned since the Hinduja group entity, another bidder in the fray and the committee of creditors sought additional time to file their replies. Reliance Capital's proposed second auction was challenged by Torrent Investments, a bidder in the fray to acquire Anil Ambani promoted financial services company undergoing an insolvency process.",2471.60009765625
2023-01-13,,,2467.60009765625
